	LAU125_FPKM	LAU355_FPKM	LAU1255_FPKM	LAU1314_FPKM
Adipocytes	0	0	0	0
Astrocytes	0.1033	0	0	0
B-cells	0	0.9916	0.1769	1.0025
Basophils	0	0.0409	0.0524	0
CD4+ T-cells	0	0.1295	0.0561	0.1044
CD4+ Tcm	0	0.1402	0.0403	0.0996
CD4+ Tem	0	0.0914	0.1016	0.091
CD4+ memory T-cells	0	0.1881	0.0874	0.1858
CD4+ naive T-cells	0	0.1803	0	0.1534
CD8+ T-cells	0	0.3318	0.2899	0.3279
CD8+ Tcm	0	0.3091	0.2948	0.3276
CD8+ Tem	0	0.1189	0.1329	0.1414
CD8+ naive T-cells	0	0.0128	0.0106	0.0111
CLP	8e-04	0	0	0.0012
CMP	0	0	0	0
Chondrocytes	0.057	0	0	0
Class-switched memory B-cells	0	0.3254	0.0527	0.3077
DC	0	0.047	0.0087	0.0349
Endothelial cells	0.0282	0	0	0
Eosinophils	0	0.0035	0	0.0032
Epithelial cells	0	0	0	0
Erythrocytes	0	0	0	0
Fibroblasts	0	0	0	0
GMP	0	0	0	6e-04
HSC	0.0534	0	0.0031	0
Hepatocytes	0	0	0	0
Keratinocytes	0	0	0	0
MEP	0.0085	0	0	0
MPP	0	0	0	0
MSC	0	0.0103	0	0
Macrophages	0	0.0232	0.0899	0.0011
Macrophages M1	0	0.0195	0.0672	0
Macrophages M2	0	0.0056	0.0144	0
Mast cells	0	0.0369	0.0056	0.0275
Megakaryocytes	0	0	0	0
Melanocytes	0.1618	0	0.1934	0
Memory B-cells	0	0.3232	0.0462	0.3229
Mesangial cells	0	0	0	0
Monocytes	0	0.063	0.0158	1e-04
Myocytes	0.0068	0.004	0	0.0016
NK cells	0	0	0	0.0034
NKT	0	0	0	0
Neurons	0.0024	2e-04	0	1e-04
Neutrophils	0	0	0	0
Osteoblast	0.0725	0	0.019	0
Pericytes	0	1e-04	0	0.0018
Plasma cells	0	0.043	0.0058	0.0791
Platelets	0.0026	3e-04	0	6e-04
Preadipocytes	0	0	0.0074	0
Sebocytes	0	0	0	0
Skeletal muscle	0	0	0	0
Smooth muscle	0.5625	0	0.3082	0.0475
Tgd cells	0	0.032	0.009	0.0502
Th1 cells	0	0	0.0296	0
Th2 cells	0	0	0.0303	0.0662
Tregs	0	0.0394	0.0593	0.0448
aDC	0	0.2016	0.2192	0.0527
cDC	0	0.2899	0.0176	0.2156
iDC	0	0.5068	0	0.303
ly Endothelial cells	0.0014	0	0	0
mv Endothelial cells	0	0	0	0
naive B-cells	0	0.1636	0.0262	0.1692
pDC	0	0.2269	0.0818	0.1822
pro B-cells	0	0.0555	0	0.0792
ImmuneScore	0	1.0843	0.4286	1.0033
StromaScore	0.0141	0	0	0
MicroenvironmentScore	0.0141	1.0843	0.4286	1.0033
